"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"83",0.666666666666667,1.0106875,"other",2,"easy","color"
"83",0.833333333333333,0.9271,"self",2,"easy","color"
"83",0.291666666666667,0.939,"other",3,"difficult","color"
"83",0.625,0.925733333333333,"self",3,"difficult","color"
"83",0.791666666666667,1.09657894736842,"other",4,"very difficult","color"
"83",0.625,0.967066666666667,"self",4,"very difficult","color"
"84",0.916666666666667,0.767772727272727,"other",1,"very easy","color"
"84",0.916666666666667,0.775727272727273,"self",1,"very easy","color"
"84",0.791666666666667,0.921947368421053,"other",2,"easy","color"
"84",0.791666666666667,0.788052631578947,"self",2,"easy","color"
"84",0.666666666666667,0.85375,"other",3,"difficult","color"
"84",0.75,0.851888888888889,"self",3,"difficult","color"
"84",0.708333333333333,0.908764705882353,"other",4,"very difficult","color"
"84",0.791666666666667,0.858684210526316,"self",4,"very difficult","color"
"85",0.833333333333333,0.6251,"other",1,"very easy","color"
"85",0.958333333333333,0.737695652173913,"self",1,"very easy","color"
"85",0.958333333333333,0.694826086956522,"other",2,"easy","color"
"85",0.826086956521739,0.837315789473684,"self",2,"easy","color"
"85",0.583333333333333,0.748214285714286,"other",3,"difficult","color"
"85",0.416666666666667,0.9172,"self",3,"difficult","color"
"85",0.75,0.772222222222222,"other",4,"very difficult","color"
"85",0.666666666666667,0.8253125,"self",4,"very difficult","color"
"86",1,0.708916666666667,"other",1,"very easy","color"
"86",0.75,0.759,"self",1,"very easy","color"
"86",0.916666666666667,0.744409090909091,"other",2,"easy","color"
"86",0.666666666666667,0.761375,"self",2,"easy","color"
"86",0.875,0.773857142857143,"other",3,"difficult","color"
"86",0.666666666666667,0.8070625,"self",3,"difficult","color"
"86",0.791666666666667,0.798947368421053,"other",4,"very difficult","color"
"86",0.416666666666667,0.8083,"self",4,"very difficult","color"
"87",0.833333333333333,0.78125,"other",1,"very easy","color"
"87",1,0.653083333333333,"self",1,"very easy","color"
"87",0.708333333333333,0.818588235294118,"other",2,"easy","color"
"87",0.875,0.648761904761905,"self",2,"easy","color"
"87",0.583333333333333,0.989571428571429,"other",3,"difficult","color"
"87",0.791666666666667,0.779368421052632,"self",3,"difficult","color"
"87",0.625,0.928533333333333,"other",4,"very difficult","color"
"87",0.75,0.794722222222222,"self",4,"very difficult","color"
"88",0.958333333333333,0.636478260869565,"other",1,"very easy","color"
"88",1,0.629333333333333,"self",1,"very easy","color"
"88",0.75,0.682111111111111,"other",2,"easy","color"
"88",0.875,0.634476190476191,"self",2,"easy","color"
"88",0.625,0.7676,"other",3,"difficult","color"
"88",0.875,0.714761904761905,"self",3,"difficult","color"
"88",0.458333333333333,0.765545454545455,"other",4,"very difficult","color"
"88",0.75,0.737388888888889,"self",4,"very difficult","color"
"89",0.916666666666667,0.918863636363636,"other",1,"very easy","color"
"89",0.958333333333333,0.844782608695652,"self",1,"very easy","color"
"89",0.782608695652174,0.978777777777778,"other",2,"easy","color"
"89",0.791666666666667,0.837789473684211,"self",2,"easy","color"
"89",0.826086956521739,0.922947368421053,"other",3,"difficult","color"
"89",0.791666666666667,0.83,"self",3,"difficult","color"
"89",0.5,1.00983333333333,"other",4,"very difficult","color"
"89",0.5,0.898583333333333,"self",4,"very difficult","color"
"90",1,0.847375,"other",1,"very easy","color"
"90",0.708333333333333,0.964470588235294,"self",1,"very easy","color"
"90",0.833333333333333,0.81055,"other",2,"easy","color"
"90",0.772727272727273,1.04470588235294,"self",2,"easy","color"
"90",0.761904761904762,0.7560625,"other",3,"difficult","color"
"90",0.583333333333333,1.04685714285714,"self",3,"difficult","color"
"90",0.736842105263158,0.7995,"other",4,"very difficult","color"
"90",0.478260869565217,1.09627272727273,"self",4,"very difficult","color"
"91",0.958333333333333,0.812304347826087,"other",1,"very easy","color"
"91",0.833333333333333,0.90575,"self",1,"very easy","color"
"91",0.875,0.835809523809524,"other",2,"easy","color"
"91",0.791666666666667,0.944631578947368,"self",2,"easy","color"
"91",0.791666666666667,0.935421052631579,"other",3,"difficult","color"
"91",0.458333333333333,1.00345454545455,"self",3,"difficult","color"
"91",0.708333333333333,1.05282352941176,"other",4,"very difficult","color"
"91",0.416666666666667,1.0603,"self",4,"very difficult","color"
"92",1,0.767458333333333,"other",1,"very easy","color"
"92",0.875,0.806714285714286,"self",1,"very easy","color"
"92",1,0.872916666666667,"other",2,"easy","color"
"92",0.833333333333333,0.831,"self",2,"easy","color"
"92",0.875,0.924428571428571,"other",3,"difficult","color"
"92",0.625,0.891066666666667,"self",3,"difficult","color"
"92",0.708333333333333,0.815529411764706,"other",4,"very difficult","color"
"92",0.75,0.857111111111111,"self",4,"very difficult","color"
"93",0.958333333333333,0.761260869565217,"other",1,"very easy","color"
"93",0.875,0.716714285714286,"self",1,"very easy","color"
