"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"70",-0.0416666666666666,-0.108820261437909,1,"very easy"
"70",-0.0416666666666666,-0.186916666666667,2,"easy"
"70",0.0833333333333334,-0.147203921568627,3,"difficult"
"70",-0.333333333333333,-0.0396444444444445,4,"very difficult"
"71",0.0416666666666666,0.0898315217391303,1,"very easy"
"71",-0.0833333333333334,-0.0017611111111111,2,"easy"
"71",0.291666666666667,0.0338232323232323,3,"difficult"
"71",-0.155797101449275,0.15672268907563,4,"very difficult"
"72",-0.0307971014492753,0.0311176470588235,1,"very easy"
"72",0.0416666666666666,0.0230947712418301,2,"easy"
"72",-0.280797101449275,-0.082,3,"difficult"
"72",0.0416666666666667,0.0979175824175824,4,"very difficult"
"73",0.416666666666667,0.224507575757576,1,"very easy"
"73",0.333333333333333,0.227183333333333,2,"easy"
"73",0.333333333333333,0.00781666666666669,3,"difficult"
"73",0.125,0.106566666666667,4,"very difficult"
"74",0.0416666666666666,-0.0267155797101448,1,"very easy"
"74",0.0833333333333334,0.0238646616541354,2,"easy"
"74",0.291666666666667,-0.0288192307692308,3,"difficult"
"74",0.125,-0.0699855769230769,4,"very difficult"
"75",-0.125,0.0599999999999999,1,"very easy"
"75",-0.125,-0.0116315789473684,2,"easy"
"75",-0.333333333333333,-0.0381883116883117,3,"difficult"
"75",-0.166666666666667,0.106592760180996,4,"very difficult"
"76",-0.375,-0.198510822510823,1,"very easy"
"76",-0.351190476190476,-0.224484848484849,2,"easy"
"76",-0.659420289855073,-0.1332,3,"difficult"
"76",-0.666666666666667,-0.271473684210526,4,"very difficult"
"77",-0.333333333333333,-0.2240625,1,"very easy"
"77",-0.708333333333333,-0.14960119047619,2,"easy"
"77",-0.523550724637681,-0.161508695652174,3,"difficult"
"77",-0.625,0.0119499999999999,4,"very difficult"
"78",-0.208333333333333,-0.062379679144385,1,"very easy"
"78",-0.208333333333333,-0.164681547619048,2,"easy"
"78",-0.367753623188406,-0.0795406698564592,3,"difficult"
"78",-0.489130434782609,-0.177872549019608,4,"very difficult"
"79",0.125,-0.00153110047846894,1,"very easy"
"79",-0.0833333333333334,0.0205,2,"easy"
"79",0.0833333333333334,0.00873611111111106,3,"difficult"
"79",-0.0416666666666666,-0.0192692307692307,4,"very difficult"
"80",-0.0833333333333334,-0.0460492424242425,1,"very easy"
"80",0.0833333333333333,-0.00925909090909083,2,"easy"
"80",0.0416666666666666,-0.0653391812865498,3,"difficult"
"80",0.125,-0.0288361344537814,4,"very difficult"
"81",0.0416666666666666,-0.0624112554112555,1,"very easy"
"81",-0.0494071146245059,-0.00866165413533826,2,"easy"
"81",-0.100790513833992,-0.0489333333333333,3,"difficult"
"81",-0.0416666666666666,0.0188904761904761,4,"very difficult"
"82",-0.0833333333333334,0.0253257575757575,1,"very easy"
"82",-0.0833333333333334,-0.0803250517598344,2,"easy"
"82",-0.208333333333333,-0.0907333333333333,3,"difficult"
"82",-0.291666666666667,-0.083469298245614,4,"very difficult"
"83",0,0.0299,1,"very easy"
"83",0.166666666666667,0.0835874999999999,2,"easy"
"83",0.333333333333333,0.0132666666666666,3,"difficult"
"83",-0.166666666666667,0.129512280701754,4,"very difficult"
"84",0,-0.00795454545454544,1,"very easy"
"84",0,0.133894736842105,2,"easy"
"84",0.0833333333333334,0.00186111111111109,3,"difficult"
"84",0.0833333333333333,0.0500804953560371,4,"very difficult"
"85",0.125,-0.112595652173913,1,"very easy"
"85",-0.132246376811594,-0.142489702517162,2,"easy"
"85",-0.166666666666667,-0.168985714285714,3,"difficult"
"85",-0.0833333333333334,-0.0530902777777779,4,"very difficult"
"86",-0.25,-0.0500833333333334,1,"very easy"
"86",-0.25,-0.0169659090909091,2,"easy"
"86",-0.208333333333333,-0.0332053571428571,3,"difficult"
"86",-0.375,-0.00935263157894728,4,"very difficult"
"87",0.166666666666667,0.128166666666667,1,"very easy"
"87",0.166666666666667,0.169826330532213,2,"easy"
"87",0.208333333333333,0.210203007518797,3,"difficult"
"87",0.125,0.133811111111111,4,"very difficult"
"88",0.0416666666666666,0.00714492753623186,1,"very easy"
"88",0.125,0.0476349206349206,2,"easy"
"88",0.25,0.0528380952380952,3,"difficult"
"88",0.291666666666667,0.0281565656565657,4,"very difficult"
"89",0.0416666666666667,0.0740810276679842,1,"very easy"
