"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"13",0.708333333333333,0.596411764705882,"other",4,"very difficult","motion"
"13",0.791666666666667,0.875789473684211,"self",4,"very difficult","motion"
"14",0.75,0.797333333333333,"other",1,"very easy","motion"
"14",0.75,0.851111111111111,"self",1,"very easy","motion"
"14",0.625,0.802933333333333,"other",2,"easy","motion"
"14",0.5,0.85675,"self",2,"easy","motion"
"14",0.625,0.9012,"other",3,"difficult","motion"
"14",0.625,0.9064,"self",3,"difficult","motion"
"14",0.375,0.888777777777778,"other",4,"very difficult","motion"
"14",0.666666666666667,0.8813125,"self",4,"very difficult","motion"
"15",0.666666666666667,0.868,"other",1,"very easy","motion"
"15",0.75,0.865722222222222,"self",1,"very easy","motion"
"15",0.583333333333333,0.871928571428571,"other",2,"easy","motion"
"15",0.75,0.862833333333333,"self",2,"easy","motion"
"15",0.791666666666667,0.840894736842105,"other",3,"difficult","motion"
"15",0.652173913043478,0.906466666666667,"self",3,"difficult","motion"
"15",0.458333333333333,0.919727272727273,"other",4,"very difficult","motion"
"15",0.652173913043478,0.923333333333333,"self",4,"very difficult","motion"
"16",0.541666666666667,0.429,"other",1,"very easy","motion"
"16",0.91304347826087,0.43052380952381,"self",1,"very easy","motion"
"16",0.590909090909091,0.550153846153846,"other",2,"easy","motion"
"16",0.652173913043478,0.585533333333333,"self",2,"easy","motion"
"16",0.5,0.668666666666667,"other",3,"difficult","motion"
"16",0.833333333333333,0.5371,"self",3,"difficult","motion"
"16",0.458333333333333,0.622545454545455,"other",4,"very difficult","motion"
"16",0.608695652173913,0.524285714285714,"self",4,"very difficult","motion"
"17",0.416666666666667,0.9376,"other",1,"very easy","motion"
"17",0.875,0.758571428571429,"self",1,"very easy","motion"
"17",0.375,0.906777777777778,"other",2,"easy","motion"
"17",0.791666666666667,0.797473684210526,"self",2,"easy","motion"
"17",0.416666666666667,0.7849,"other",3,"difficult","motion"
"17",0.791666666666667,0.810736842105263,"self",3,"difficult","motion"
"17",0.25,0.8645,"other",4,"very difficult","motion"
"17",0.708333333333333,0.825117647058824,"self",4,"very difficult","motion"
"18",0.75,0.829388888888889,"other",1,"very easy","motion"
"18",0.833333333333333,0.64765,"self",1,"very easy","motion"
"18",0.791666666666667,0.848421052631579,"other",2,"easy","motion"
"18",0.666666666666667,0.7515625,"self",2,"easy","motion"
"18",0.666666666666667,0.821,"other",3,"difficult","motion"
"18",0.791666666666667,0.719263157894737,"self",3,"difficult","motion"
"18",0.625,0.7924,"other",4,"very difficult","motion"
"18",0.375,0.755555555555556,"self",4,"very difficult","motion"
"19",0.791666666666667,0.747526315789474,"other",1,"very easy","motion"
"19",0.791666666666667,0.64578947368421,"self",1,"very easy","motion"
"19",0.875,0.699285714285714,"other",2,"easy","motion"
"19",0.75,0.707666666666667,"self",2,"easy","motion"
"19",0.782608695652174,0.706555555555555,"other",3,"difficult","motion"
"19",0.869565217391304,0.7345,"self",3,"difficult","motion"
"19",0.608695652173913,0.788642857142857,"other",4,"very difficult","motion"
"19",0.521739130434783,0.733166666666667,"self",4,"very difficult","motion"
"20",0.608695652173913,0.749571428571429,"other",1,"very easy","motion"
"20",0.708333333333333,0.659764705882353,"self",1,"very easy","motion"
"20",0.666666666666667,0.8061875,"other",2,"easy","motion"
"20",0.782608695652174,0.723888888888889,"self",2,"easy","motion"
"20",0.625,0.737266666666667,"other",3,"difficult","motion"
"20",0.666666666666667,0.677375,"self",3,"difficult","motion"
"20",0.583333333333333,0.793,"other",4,"very difficult","motion"
"20",0.583333333333333,0.693357142857143,"self",4,"very difficult","motion"
"21",0.875,0.837952380952381,"other",1,"very easy","motion"
"21",0.75,0.789277777777778,"self",1,"very easy","motion"
"21",0.916666666666667,0.787545454545455,"other",2,"easy","motion"
"21",0.791666666666667,0.89878947368421,"self",2,"easy","motion"
"21",0.916666666666667,0.849227272727273,"other",3,"difficult","motion"
"21",0.75,0.976388888888889,"self",3,"difficult","motion"
"21",0.708333333333333,0.932235294117647,"other",4,"very difficult","motion"
"21",0.625,1.00326666666667,"self",4,"very difficult","motion"
"22",0.652173913043478,0.677333333333333,"other",1,"very easy","motion"
"22",0.75,0.525,"self",1,"very easy","motion"
"22",0.5,0.629333333333333,"other",2,"easy","motion"
"22",0.791666666666667,0.632684210526316,"self",2,"easy","motion"
"22",0.541666666666667,0.638846153846154,"other",3,"difficult","motion"
"22",0.826086956521739,0.618842105263158,"self",3,"difficult","motion"
"22",0.428571428571429,0.634777777777778,"other",4,"very difficult","motion"
"22",0.565217391304348,0.638615384615385,"self",4,"very difficult","motion"
"23",0.583333333333333,1.13607142857143,"other",1,"very easy","motion"
"23",0.625,0.869466666666667,"self",1,"very easy","motion"
"23",0.458333333333333,1.03836363636364,"other",2,"easy","motion"
"23",0.666666666666667,0.91725,"self",2,"easy","motion"
"23",0.5,1.076,"other",3,"difficult","motion"
"23",0.666666666666667,0.90975,"self",3,"difficult","motion"
"23",0.416666666666667,1.0121,"other",4,"very difficult","motion"
"23",0.541666666666667,0.917615384615385,"self",4,"very difficult","motion"
"24",0.625,0.946733333333333,"other",1,"very easy","motion"
"24",0.5,1.01658333333333,"self",1,"very easy","motion"
"24",0.833333333333333,1.04725,"other",2,"easy","motion"
"24",0.583333333333333,0.899142857142857,"self",2,"easy","motion"
"24",0.583333333333333,1.17842857142857,"other",3,"difficult","motion"
"24",0.625,1.11953333333333,"self",3,"difficult","motion"
"24",0.666666666666667,1.2419375,"other",4,"very difficult","motion"
"24",0.458333333333333,1.11218181818182,"self",4,"very difficult","motion"
"25",0.833333333333333,0.72055,"other",1,"very easy","motion"
"25",0.772727272727273,0.551823529411765,"self",1,"very easy","motion"
"25",0.666666666666667,0.569625,"other",2,"easy","motion"
"25",1,0.55175,"self",2,"easy","motion"
"25",0.708333333333333,0.755647058823529,"other",3,"difficult","motion"
"25",0.666666666666667,0.664625,"self",3,"difficult","motion"
"25",0.434782608695652,0.7755,"other",4,"very difficult","motion"
"25",0.478260869565217,0.659909090909091,"self",4,"very difficult","motion"
"26",0.708333333333333,0.780294117647059,"other",1,"very easy","motion"
"26",0.75,0.7565,"self",1,"very easy","motion"
"26",0.75,0.799555555555556,"other",2,"easy","motion"
"26",0.5,0.898,"self",2,"easy","motion"
"26",0.583333333333333,0.846571428571429,"other",3,"difficult","motion"
"26",0.625,0.764466666666667,"self",3,"difficult","motion"
"26",0.652173913043478,0.863266666666667,"other",4,"very difficult","motion"
"26",0.541666666666667,0.933230769230769,"self",4,"very difficult","motion"
"27",0.541666666666667,0.917076923076923,"other",1,"very easy","motion"
"27",0.75,0.753055555555556,"self",1,"very easy","motion"
"27",0.541666666666667,0.771076923076923,"other",2,"easy","motion"
"27",0.666666666666667,0.7436875,"self",2,"easy","motion"
"27",0.5,0.98025,"other",3,"difficult","motion"
"27",0.75,0.737555555555556,"self",3,"difficult","motion"
"27",0.333333333333333,0.920375,"other",4,"very difficult","motion"
"27",0.625,0.789,"self",4,"very difficult","motion"
"28",0.75,0.945166666666667,"other",1,"very easy","motion"
"28",0.625,0.968333333333333,"self",1,"very easy","motion"
"28",0.666666666666667,0.9175625,"other",2,"easy","motion"
"28",0.666666666666667,0.9155,"self",2,"easy","motion"
"28",0.833333333333333,0.89995,"other",3,"difficult","motion"
"28",0.458333333333333,0.863181818181818,"self",3,"difficult","motion"
"28",0.625,0.864733333333333,"other",4,"very difficult","motion"
"28",0.333333333333333,0.9925,"self",4,"very difficult","motion"
"29",0.708333333333333,0.913764705882353,"other",1,"very easy","motion"
"29",0.875,0.720333333333333,"self",1,"very easy","motion"
"29",0.625,0.956266666666667,"other",2,"easy","motion"
"29",0.666666666666667,0.8255,"self",2,"easy","motion"
"29",0.625,0.9118,"other",3,"difficult","motion"
"29",0.791666666666667,0.771842105263158,"self",3,"difficult","motion"
"29",0.666666666666667,0.8791875,"other",4,"very difficult","motion"
"29",0.5,0.77525,"self",4,"very difficult","motion"
"30",0.708333333333333,0.938352941176471,"other",1,"very easy","motion"
"30",0.875,0.865952380952381,"self",1,"very easy","motion"
"30",0.708333333333333,0.944294117647059,"other",2,"easy","motion"
"30",0.791666666666667,0.840473684210526,"self",2,"easy","motion"
"30",0.625,0.960933333333333,"other",3,"difficult","motion"
"30",0.875,0.864476190476191,"self",3,"difficult","motion"
"30",0.5,1.06533333333333,"other",4,"very difficult","motion"
"30",0.708333333333333,1.11017647058824,"self",4,"very difficult","motion"
"31",0.708333333333333,1.66994117647059,"other",1,"very easy","motion"
"31",0.916666666666667,1.63563636363636,"self",1,"very easy","motion"
"31",0.708333333333333,1.71729411764706,"other",2,"easy","motion"
"31",0.833333333333333,1.67305,"self",2,"easy","motion"
"31",0.583333333333333,1.68342857142857,"other",3,"difficult","motion"
"31",0.833333333333333,1.6709,"self",3,"difficult","motion"
"31",0.458333333333333,1.71718181818182,"other",4,"very difficult","motion"
"31",0.541666666666667,1.71853846153846,"self",4,"very difficult","motion"
"32",0.916666666666667,0.955636363636364,"other",1,"very easy","motion"
"32",0.75,0.931888888888889,"self",1,"very easy","motion"
"32",0.791666666666667,0.939894736842105,"other",2,"easy","motion"
"32",0.75,0.942166666666667,"self",2,"easy","motion"
"32",0.625,0.968933333333333,"other",3,"difficult","motion"
"32",0.666666666666667,0.9021875,"self",3,"difficult","motion"
"32",0.541666666666667,1.02492307692308,"other",4,"very difficult","motion"
"32",0.708333333333333,1.00658823529412,"self",4,"very difficult","motion"
"33",0.916666666666667,0.574727272727273,"other",1,"very easy","motion"
"33",0.541666666666667,0.598461538461538,"self",1,"very easy","motion"
"33",0.875,0.536380952380952,"other",2,"easy","motion"
"33",0.541666666666667,0.708076923076923,"self",2,"easy","motion"
"33",0.833333333333333,0.54085,"other",3,"difficult","motion"
"33",0.521739130434783,0.69925,"self",3,"difficult","motion"
"33",0.583333333333333,0.551928571428571,"other",4,"very difficult","motion"
"33",0.5,0.770166666666667,"self",4,"very difficult","motion"
"34",0.791666666666667,1.01594736842105,"other",1,"very easy","motion"
"34",0.75,1.25705555555556,"self",1,"very easy","motion"
"34",0.625,1.22206666666667,"other",2,"easy","motion"
"34",0.625,1.24586666666667,"self",2,"easy","motion"
"34",0.75,1.22561111111111,"other",3,"difficult","motion"
"34",0.708333333333333,1.21964705882353,"self",3,"difficult","motion"
"34",0.5,1.31041666666667,"other",4,"very difficult","motion"
"34",0.708333333333333,1.41429411764706,"self",4,"very difficult","motion"
"35",0.708333333333333,1.02958823529412,"other",1,"very easy","motion"
"35",0.869565217391304,0.92345,"self",1,"very easy","motion"
"35",0.625,1.06153333333333,"other",2,"easy","motion"
"35",0.75,1.08855555555556,"self",2,"easy","motion"
"35",0.666666666666667,0.9655,"other",3,"difficult","motion"
"35",0.75,1.08,"self",3,"difficult","motion"
"35",0.625,1.09786666666667,"other",4,"very difficult","motion"
"35",0.666666666666667,1.0919375,"self",4,"very difficult","motion"
"36",0.75,0.830611111111111,"other",1,"very easy","motion"
"36",0.791666666666667,0.971473684210526,"self",1,"very easy","motion"
"36",0.583333333333333,1.01757142857143,"other",2,"easy","motion"
"36",0.416666666666667,1.1069,"self",2,"easy","motion"
"36",0.625,0.9994,"other",3,"difficult","motion"
"36",0.739130434782609,1.08288235294118,"self",3,"difficult","motion"
"36",0.666666666666667,0.9393125,"other",4,"very difficult","motion"
"36",0.375,1.10511111111111,"self",4,"very difficult","motion"
"37",0.708333333333333,0.692352941176471,"other",1,"very easy","motion"
"37",0.708333333333333,0.785058823529412,"self",1,"very easy","motion"
"37",0.75,0.733888888888889,"other",2,"easy","motion"
"37",0.5,0.863583333333333,"self",2,"easy","motion"
"37",0.708333333333333,0.833235294117647,"other",3,"difficult","motion"
"37",0.541666666666667,0.777,"self",3,"difficult","motion"
"37",0.541666666666667,0.923692307692308,"other",4,"very difficult","motion"
"37",0.583333333333333,0.860285714285714,"self",4,"very difficult","motion"
"38",0.75,0.6935,"other",1,"very easy","motion"
"38",0.541666666666667,0.829153846153846,"self",1,"very easy","motion"
"38",0.791666666666667,0.720315789473684,"other",2,"easy","motion"
"38",0.375,0.754111111111111,"self",2,"easy","motion"
"38",0.833333333333333,0.7102,"other",3,"difficult","motion"
"38",0.541666666666667,0.905461538461538,"self",3,"difficult","motion"
"38",0.583333333333333,0.814571428571429,"other",4,"very difficult","motion"
"38",0.5,0.958666666666667,"self",4,"very difficult","motion"
"39",0.833333333333333,0.65745,"other",1,"very easy","motion"
"39",0.791666666666667,0.803105263157895,"self",1,"very easy","motion"
"39",0.708333333333333,0.686235294117647,"other",2,"easy","motion"
"39",0.625,0.8554,"self",2,"easy","motion"
"39",0.708333333333333,0.687235294117647,"other",3,"difficult","motion"
"39",0.833333333333333,0.80535,"self",3,"difficult","motion"
"39",0.5,0.716833333333333,"other",4,"very difficult","motion"
"39",0.541666666666667,0.797153846153846,"self",4,"very difficult","motion"
"40",0.625,0.611266666666667,"other",1,"very easy","motion"
"40",0.545454545454545,0.522,"self",1,"very easy","motion"
"40",0.478260869565217,0.514181818181818,"other",2,"easy","motion"
