"subj_idx","acc","rt","association","difficulty","group"
"87",0.875,1054.61904761905,"other","2","color"
"87",0.854166666666667,1020.9756097561,"self","2","color"
"87",0.791666666666667,1102.55263157895,"other","3","color"
"87",0.666666666666667,1193.59375,"self","3","color"
"87",0.604166666666667,1104.65517241379,"other","4","color"
"87",0.520833333333333,1130.48,"self","4","color"
"88",0.979166666666667,1292.65957446809,"other","1","color"
"88",0.958333333333333,1118.39130434783,"self","1","color"
"88",0.787234042553192,1446.13513513514,"other","2","color"
"88",0.957446808510638,1187.6,"self","2","color"
"88",0.5625,1607.25925925926,"other","3","color"
"88",0.770833333333333,1313.13513513514,"self","3","color"
"88",0.395833333333333,1572.21052631579,"other","4","color"
"88",0.770833333333333,1334.78378378378,"self","4","color"
"89",0.869565217391304,1543.4,"other","1","color"
"89",1,1344.625,"self","1","color"
"89",0.545454545454545,1894.91666666667,"other","2","color"
"89",1,1384.48888888889,"self","2","color"
"89",0.581395348837209,1874.24,"other","3","color"
"89",0.933333333333333,1389.2380952381,"self","3","color"
"89",0.5,1712.63636363636,"other","4","color"
"89",0.711111111111111,1723.21875,"self","4","color"
"90",0.958333333333333,1302.36956521739,"other","1","color"
"90",0.74468085106383,1492.37142857143,"self","1","color"
"90",0.854166666666667,1378.24390243902,"other","2","color"
"90",0.723404255319149,1652.73529411765,"self","2","color"
"90",0.916666666666667,1507.72727272727,"other","3","color"
"90",0.4375,1762.61904761905,"self","3","color"
"90",0.765957446808511,1556.16666666667,"other","4","color"
"90",0.25531914893617,1686.33333333333,"self","4","color"
"91",0.875,1798.59523809524,"other","1","color"
"91",0.934782608695652,1695.25581395349,"self","1","color"
"91",0.782608695652174,1982.63888888889,"other","2","color"
"91",0.893617021276596,1811.97619047619,"self","2","color"
"91",0.727272727272727,2165.9375,"other","3","color"
"91",0.818181818181818,1976.36111111111,"self","3","color"
"91",0.51219512195122,2097.09523809524,"other","4","color"
"91",0.6,2062.55555555556,"self","4","color"
"92",0.979166666666667,1368.21276595745,"other","1","color"
"92",0.8125,1548.58974358974,"self","1","color"
"92",0.895833333333333,1494.25581395349,"other","2","color"
"92",0.9375,1675.93333333333,"self","2","color"
"92",0.891304347826087,1613.31707317073,"other","3","color"
"92",0.645833333333333,1751.74193548387,"self","3","color"
"92",0.791666666666667,1657.94736842105,"other","4","color"
"92",0.659574468085106,1711.67741935484,"self","4","color"
"93",0.979166666666667,1143.42553191489,"other","1","color"
"93",1,1227.1875,"self","1","color"
"93",0.979166666666667,1269.57446808511,"other","2","color"
"93",0.895833333333333,1408.60465116279,"self","2","color"
"93",0.895833333333333,1385.53488372093,"other","3","color"
"93",0.791666666666667,1417.81578947368,"self","3","color"
"93",0.6875,1620.42424242424,"other","4","color"
"93",0.541666666666667,1481.15384615385,"self","4","color"
"94",0.958333333333333,1071.71739130435,"other","1","color"
"94",0.979166666666667,1042.46808510638,"self","1","color"
"94",0.666666666666667,1197.71875,"other","2","color"
"94",0.854166666666667,1097.80487804878,"self","2","color"
"94",0.458333333333333,1234.86363636364,"other","3","color"
"94",0.833333333333333,1209.675,"self","3","color"
"94",0.5625,1213.22222222222,"other","4","color"
"94",0.916666666666667,1190.75,"self","4","color"
"95",0.777777777777778,1762.4,"other","1","color"
"95",0.895833333333333,1576.60465116279,"self","1","color"
"95",0.782608695652174,1926,"other","2","color"
"95",0.808510638297872,1766.55263157895,"self","2","color"
"95",0.369565217391304,1948.64705882353,"other","3","color"
"95",0.804347826086957,1835.67567567568,"self","3","color"
"95",0.468085106382979,2052.68181818182,"other","4","color"
"95",0.733333333333333,1930.87878787879,"self","4","color"
"96",0.895833333333333,978.581395348837,"other","1","color"
"96",0.916666666666667,948.159090909091,"self","1","color"
"96",0.8125,1060.33333333333,"other","2","color"
"96",0.791666666666667,1059.10526315789,"self","2","color"
"96",0.625,1067.23333333333,"other","3","color"
"96",0.708333333333333,1076.14705882353,"self","3","color"
"96",0.625,1043.56666666667,"other","4","color"
"96",0.645833333333333,1101.09677419355,"self","4","color"
"97",0.979166666666667,1187.21276595745,"other","1","color"
"97",0.875,1163.83333333333,"self","1","color"
"97",0.958333333333333,1254.73913043478,"other","2","color"
"97",0.916666666666667,1247.25,"self","2","color"
"97",0.666666666666667,1286.03125,"other","3","color"
