"subj_idx","acc","rt","association","difficulty","group"
"18",0.75,829.388888888889,"other","1","motion"
"18",0.833333333333333,647.65,"self","1","motion"
"18",0.791666666666667,848.421052631579,"other","2","motion"
"18",0.666666666666667,751.5625,"self","2","motion"
"18",0.666666666666667,821,"other","3","motion"
"18",0.791666666666667,719.263157894737,"self","3","motion"
"18",0.625,792.4,"other","4","motion"
"18",0.375,755.555555555556,"self","4","motion"
"19",0.791666666666667,747.526315789474,"other","1","motion"
"19",0.791666666666667,645.789473684211,"self","1","motion"
"19",0.875,699.285714285714,"other","2","motion"
"19",0.75,707.666666666667,"self","2","motion"
"19",0.782608695652174,706.555555555556,"other","3","motion"
"19",0.869565217391304,734.5,"self","3","motion"
"19",0.608695652173913,788.642857142857,"other","4","motion"
"19",0.521739130434783,733.166666666667,"self","4","motion"
"20",0.608695652173913,749.571428571429,"other","1","motion"
"20",0.708333333333333,659.764705882353,"self","1","motion"
"20",0.666666666666667,806.1875,"other","2","motion"
"20",0.782608695652174,723.888888888889,"self","2","motion"
"20",0.625,737.266666666667,"other","3","motion"
"20",0.666666666666667,677.375,"self","3","motion"
"20",0.583333333333333,793,"other","4","motion"
"20",0.583333333333333,693.357142857143,"self","4","motion"
"21",0.875,837.952380952381,"other","1","motion"
"21",0.75,789.277777777778,"self","1","motion"
"21",0.916666666666667,787.545454545455,"other","2","motion"
"21",0.791666666666667,898.789473684211,"self","2","motion"
"21",0.916666666666667,849.227272727273,"other","3","motion"
"21",0.75,976.388888888889,"self","3","motion"
"21",0.708333333333333,932.235294117647,"other","4","motion"
"21",0.625,1003.26666666667,"self","4","motion"
"22",0.652173913043478,677.333333333333,"other","1","motion"
"22",0.75,525,"self","1","motion"
"22",0.5,629.333333333333,"other","2","motion"
"22",0.791666666666667,632.684210526316,"self","2","motion"
"22",0.541666666666667,638.846153846154,"other","3","motion"
"22",0.826086956521739,618.842105263158,"self","3","motion"
"22",0.428571428571429,634.777777777778,"other","4","motion"
"22",0.565217391304348,638.615384615385,"self","4","motion"
"23",0.583333333333333,1136.07142857143,"other","1","motion"
"23",0.625,869.466666666667,"self","1","motion"
"23",0.458333333333333,1038.36363636364,"other","2","motion"
