"subj_idx","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
2,"女",22,"右","都不是","match_RDK","1335","f","false",180,0.03,"mismatch","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1574","j","false",180,0.08,"match","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2055","j","true",0,0.08,"mismatch","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2237","f","false",0,0.12,"mismatch","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2243","j","false",0,0.08,"match","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2252","f","true",180,0.08,"match","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2325","j","true",0,0.03,"mismatch","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2918","f","false",180,0.12,"mismatch","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2235","f","true",180,0.12,"match","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","-1","","false",180,0.03,"match","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1378","j","false",0,0.12,"match","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1854","j","true",180,0.08,"mismatch","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2139","j","true",180,0.08,"mismatch","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2551","j","false",0,0.08,"match","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2318","f","true",0,0.03,"match","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2140","j","true",0,0.08,"mismatch","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1804","f","false",0,0.03,"mismatch","other",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2707","f","false",180,0.03,"mismatch","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2455","j","false",0,0.08,"match","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2439","f","true",0,0.08,"match","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2291","j","true",0,0.08,"mismatch","other",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1620","f","true",180,0.08,"match","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1772","f","true",180,0.03,"match","self",4,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","-1","","false",180,0.12,"mismatch","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2045","j","false",180,0.08,"match","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2302","j","true",180,0.08,"mismatch","self",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2583","j","true",0,0.08,"mismatch","other",2,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2681","j","true",180,0.08,"mismatch","self",3,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2548","f","true",0,0.12,"match","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2055","j","true",0,0.12,"mismatch","other",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","1327","f","true",180,0.12,"match","self",1,"[""white""]",0
2,"女",22,"右","都不是","match_RDK","2983","f","true",0,0.03,"match","other",4,"[""white""]",0
