"subj_idx","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
12,"女",22,"右","都不是","match_RDK","2064","j","true",0,0.12,"mismatch","other",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","2533","j","true",180,0.06,"mismatch","self",2,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","2410","j","false",180,0.03,"match","self",4,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","2618","j","false",0,0.12,"match","other",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1948","f","true",0,0.03,"match","other",4,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","2105","j","true",180,0.06,"mismatch","self",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","978","f","true",180,0.12,"match","self",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1164","f","true",0,0.06,"match","other",2,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1726","j","true",0,0.06,"mismatch","other",2,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1170","f","true",0,0.06,"match","other",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","988","f","false",180,0.12,"mismatch","self",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1076","j","true",0,0.06,"mismatch","other",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1466","f","false",0,0.03,"mismatch","other",4,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1372","j","true",180,0.03,"mismatch","self",4,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1804","j","false",180,0.06,"match","self",2,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1365","j","false",180,0.06,"match","self",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","2123","f","false",0,0.12,"mismatch","other",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1815","f","true",0,0.06,"match","other",2,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1658","j","true",180,0.12,"mismatch","self",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1032","f","false",0,0.06,"mismatch","other",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1633","f","true",0,0.12,"match","other",1,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1382","f","true",180,0.06,"match","self",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1359","j","true",180,0.06,"mismatch","self",3,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","934","f","false",0,0.03,"mismatch","other",4,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1069","f","true",180,0.06,"match","self",2,"[""white""]",0
12,"女",22,"右","都不是","match_RDK","1464","j","false",0,0.06,"match","other",3,"[""white""]",0
