"subj_idx","part","difficulty","association","rt","acc","group","task_type"
42,"RDK_motion","easy","self",2540.73913043478,0.92,"color","irrelevant"
42,"RDK_motion","hard","other",2738.83333333333,0.6,"color","irrelevant"
42,"RDK_motion","hard","self",2992.36842105263,0.95,"color","irrelevant"
42,"match_RDK","easy","other",2122.4693877551,0.907407407407407,"color",NA
42,"match_RDK","easy","self",1802.5,0.875,"color",NA
42,"match_RDK","hard","other",1928.06451612903,0.645833333333333,"color",NA
42,"match_RDK","hard","self",2122.09756097561,0.773584905660377,"color",NA
43,"RDK_color","easy","other",1355.03125,1,"color","relevant"
43,"RDK_color","easy","self",1689.86206896552,0.935483870967742,"color","relevant"
43,"RDK_color","hard","other",1625.57692307692,0.8125,"color","relevant"
43,"RDK_color","hard","self",1678.91304347826,0.71875,"color","relevant"
43,"RDK_motion","easy","other",1706.09523809524,0.724137931034483,"color","irrelevant"
43,"RDK_motion","easy","self",1623.72,0.862068965517241,"color","irrelevant"
43,"RDK_motion","hard","other",1397.15,0.645161290322581,"color","irrelevant"
43,"RDK_motion","hard","self",1794.95454545455,0.709677419354839,"color","irrelevant"
43,"match_RDK","easy","other",1898.95555555556,0.833333333333333,"color",NA
43,"match_RDK","easy","self",2117.65909090909,0.88,"color",NA
43,"match_RDK","hard","other",2414.225,0.833333333333333,"color",NA
43,"match_RDK","hard","self",2012.5,0.653846153846154,"color",NA
44,"RDK_color","easy","other",882.222222222222,0.84375,"color","relevant"
44,"RDK_color","easy","self",831.51724137931,0.90625,"color","relevant"
44,"RDK_color","hard","other",946.238095238095,0.65625,"color","relevant"
44,"RDK_color","hard","self",845.304347826087,0.71875,"color","relevant"
44,"RDK_motion","easy","other",740.583333333333,0.75,"color","irrelevant"
44,"RDK_motion","easy","self",649.538461538462,0.8125,"color","irrelevant"
44,"RDK_motion","hard","other",737.315789473684,0.59375,"color","irrelevant"
44,"RDK_motion","hard","self",724.05,0.645161290322581,"color","irrelevant"
44,"match_RDK","easy","other",1343.97674418605,0.767857142857143,"color",NA
44,"match_RDK","easy","self",1376.13953488372,0.767857142857143,"color",NA
44,"match_RDK","hard","other",1390.64102564103,0.709090909090909,"color",NA
44,"match_RDK","hard","self",1336.3,0.535714285714286,"color",NA
45,"RDK_color","easy","other",981.518518518518,0.84375,"color","relevant"
45,"RDK_color","easy","self",828.740740740741,0.84375,"color","relevant"
45,"RDK_color","hard","other",837.739130434783,0.71875,"color","relevant"
45,"RDK_color","hard","self",778.037037037037,0.9,"color","relevant"
45,"RDK_motion","easy","other",1232.19047619048,0.65625,"color","irrelevant"
45,"RDK_motion","easy","self",1305.60869565217,0.71875,"color","irrelevant"
45,"RDK_motion","hard","other",1199.2,0.625,"color","irrelevant"
45,"RDK_motion","hard","self",1476.875,0.75,"color","irrelevant"
45,"match_RDK","easy","other",1370.77272727273,0.8,"color",NA
45,"match_RDK","easy","self",1266.93333333333,0.818181818181818,"color",NA
45,"match_RDK","hard","other",1464.78947368421,0.690909090909091,"color",NA
45,"match_RDK","hard","self",1417.58333333333,0.642857142857143,"color",NA
46,"RDK_color","easy","other",1555.41379310345,0.966666666666667,"color","relevant"
46,"RDK_color","easy","self",1726.76923076923,0.8125,"color","relevant"
46,"RDK_color","hard","other",2077.28,0.833333333333333,"color","relevant"
46,"RDK_color","hard","self",1622.625,0.75,"color","relevant"
46,"RDK_motion","easy","other",2201.09090909091,0.956521739130435,"color","irrelevant"
46,"RDK_motion","easy","self",2012.22222222222,0.857142857142857,"color","irrelevant"
46,"RDK_motion","hard","other",2611.41176470588,0.708333333333333,"color","irrelevant"
46,"RDK_motion","hard","self",2053.75,0.761904761904762,"color","irrelevant"
46,"match_RDK","easy","other",1710.17857142857,1,"color",NA
46,"match_RDK","easy","self",1812.69696969697,0.611111111111111,"color",NA
46,"match_RDK","hard","other",1770.56818181818,0.8,"color",NA
46,"match_RDK","hard","self",1973.48,0.446428571428571,"color",NA
47,"RDK_color","easy","other",1544.125,0.774193548387097,"color","relevant"
47,"RDK_color","easy","self",1315.22222222222,0.84375,"color","relevant"
47,"RDK_color","hard","other",1609.70588235294,0.586206896551724,"color","relevant"
47,"RDK_color","hard","self",1601.52173913043,0.71875,"color","relevant"
47,"RDK_motion","easy","other",1789.90476190476,0.724137931034483,"color","irrelevant"
47,"RDK_motion","easy","self",1674.75,0.8,"color","irrelevant"
